application_id,LN_fico,vehicle_type,LN_vehicle_make,LN_vehicle_model,LN_vehicle_year,LN_vehicle_condition,open_date,LN_payment_profile,LN_last_payment_date,LN_balance_date,LN_amount_1,LN_enhanced_acct_type_code,LN_term_months,LN_terms_duration,LN_terms_frequency_code,LN_high_balance,ecoa,LN_balance_amount,LN_model_2016_subprime_score,LN_prime_model_score_2017,LN_best_match_no_leakage_bad_first,LN_payment_profile_18,LN_payment_profile_19,LN_account_condition_bucket,LN_payment_profile_18adj,excl_tag,obs_excl_tag,perf_excl_tag,LN_EOP18,LN_Ever18,LN_GBI
fba59f15208e96978895775bbe324d01,663,atv,Polaris,Scrambler XP 1000,2017,N,7/29/2017,CCCCCCCCCCCCCCCCCCCC,3/5/2019,3/31/2019,9987,11,60,60,M,0,1,7820,0.183455034,0.007300531,t,CCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCC,0,CCCCCCCCCCCCCCCCCC,99,99,99,C,C,G
b27518b18a0d30818dd449a0b5126c6d,708,cruiser,Honda,CTX700N,2016,N,6/24/2017,B,7/21/2017,7/25/2017,4492,0,60,60,M,0,1,0,0.079734651,0.131691219,t,B,B,0,B,99,99,99,C,C,G
