application_id,amount,bankruptcy_asset_amount,bankruptcy_liabilities_amount,created,ecoa,filing_date,id,status_date,status
37a0edffe0f13cdd24bc7c2f5e49e1d5,1164,,,2014-04-30 00:00:00.000000,2,2013-07-22,297848_v4,2013-07-22,32
df25a8394203ff5b8cc3759b6c2f211b,0,0,0,2015-01-31 00:00:00.000000,1,2005-10-14,340380_v4,2006-03-22,15
4f138fda698a09276bfc86ee6cd336e6,555796,,,2014-04-30 00:00:00.000000,1,2012-12-03,489851_v4,2014-02-24,31
2cbd22700a5e9007a6b820e16dfa2a54,743,,,2015-07-29 00:00:00.000000,1,2011-10-12,222939_v4,2012-05-02,33
eaf99b0a1130508478f3aa49f4deb264,0,0,0,2016-01-30 00:00:00.000000,2,2011-07-15,154082_v4,2011-11-01,15
5c552a0df48c7e090ca3bab011993be2,1927,,,2014-04-30 00:00:00.000000,2,2011-04-21,524836_v4,2011-05-18,31
91caf74e847a2845bb3b53862eea0061,0,0,0,2015-04-29 00:00:00.000000,2,2012-02-01,659250_v4,2012-06-07,15
bee40dbcc2a15bd9a6086245db65ac74,15068,,,2016-01-30 00:00:00.000000,1,2010-05-04,63553_v4,2010-05-04,30
e119616e3b7429b19bdb353691880b86,8058,,,2015-07-29 00:00:00.000000,1,2011-06-01,459456_v4,2013-07-08,9
7168aaf7c7c7fe8be9a3dbf3f2f476e6,0,0,0,2015-04-29 00:00:00.000000,1,2009-08-02,472161_v4,2009-10-27,15
8e9964a81d1f652e556ebb495ea5f835,0,0,0,2016-01-30 00:00:00.000000,2,2006-09-28,471289_v4,2007-11-07,15
c2daa57f14c263f3762ea6bf6a0d4e59,532,,,2016-04-30 00:00:00.000000,2,2013-04-01,289761_v4,2013-04-01,8
2a0d1f2f0930956ea3c10b09450a9351,0,0,0,2014-04-30 00:00:00.000000,2,2007-02-20,474178_v4,2007-05-22,15
05b8306cdef2d4b737e7a6c2def1f1f4,0,0,0,2015-04-29 00:00:00.000000,2,2005-10-13,55727_v4,2006-03-20,15
bd63bc058557226316aa7801144ffc81,652,,,2014-04-30 00:00:00.000000,2,2009-12-06,281180_v4,2009-04-22,33
7f71cc92ffd1a1bdf36f32ef9df019a0,312,,,2014-04-30 00:00:00.000000,2,2009-05-10,230113_v4,2009-09-24,9
e67d4b54c6a7b4c80c0911bafc0146b6,153939,,,2016-01-30 00:00:00.000000,1,2010-04-27,220173_v4,2013-06-14,31
68ee5da977ee9aa45cd643c3fd71e3b2,0,0,0,2015-01-31 00:00:00.000000,2,2012-06-12,184221_v4,2012-10-01,15
b9d2b7b04761ccb7a009ba8db82160ce,0,0,0,2016-04-30 00:00:00.000000,2,2007-05-16,496365_v4,2007-08-23,15
270088a2de29a2ef1166cd6958772b6b,138928,,,2015-01-31 00:00:00.000000,1,2012-07-30,351425_v4,2012-07-30,8
b54e277425564eca000cb8b19707e14f,357,,,2014-04-30 00:00:00.000000,2,2006-11-08,475372_v4,2006-11-08,32
c451f30a8cdf337789bd984209cc9af6,7957,,,2016-01-30 00:00:00.000000,1,2010-04-26,526538_v4,2010-04-26,8
f67c7da422d45036035650f5383b743a,6851,,,2015-01-31 00:00:00.000000,1,2008-07-31,455862_v4,2008-07-31,8
2f328387e1ce7a55886931fdf194a21c,4463,,,2016-04-30 00:00:00.000000,2,2010-10-12,637147_v4,2010-10-12,30
1bef3743892180ee3496b0f6a029cf9c,0,0,0,2014-04-30 00:00:00.000000,2,2005-08-29,14081_v4,2006-07-19,15
33fb22784048abcbb449232c85d95b78,2071,,,2014-04-30 00:00:00.000000,2,2011-06-01,544851_v4,2011-09-27,31
f533813937769034d0acfb9513b53a12,0,0,0,2015-01-31 00:00:00.000000,1,2005-08-26,654826_v4,2005-12-07,15
106ecd8bb2cd30813fe61fc031ee0700,1472,,,2016-01-30 00:00:00.000000,1,2013-10-10,270051_v4,2015-05-30,33
e3b9ab526f49875ce2bb80b003b395ac,1454,,,2015-01-31 00:00:00.000000,1,2012-04-13,25864_v4,2012-04-13,8
2e175c9018e6785f0b1bab1333d55a79,0,0,0,2015-04-29 00:00:00.000000,1,2005-08-17,304611_v4,2005-12-12,15
0cc0696d7c0ea60fc1cff61652de8831,1049,,,2016-04-30 00:00:00.000000,1,2013-05-06,94318_v4,2013-05-06,8
17687b5b85e1311bbe4698821ec41260,91413,,,2015-04-29 00:00:00.000000,2,2014-12-09,469637_v4,2014-12-09,30
c947a80ceac93f285edc95b8b3fe8c11,0,0,0,2015-07-29 00:00:00.000000,2,2008-11-09,216350_v4,2013-10-25,17
0d1baf7b595b7a7d5a70cc0e6edef04a,4315,,,2014-04-30 00:00:00.000000,1,2012-08-30,521227_v4,2012-08-30,8
0e938fb35eebb9893112f04353270f10,0,0,0,2015-04-29 00:00:00.000000,1,2011-07-26,355901_v4,2013-04-17,15
4f05d42bed53903e8ae26b6385bba358,1629,,,2015-01-31 00:00:00.000000,1,2014-10-14,66039_v4,2014-10-14,32
75e8c90cb6e1068495b08ad214b96938,14981,,,2015-07-29 00:00:00.000000,1,2008-11-13,303845_v4,2008-11-13,8
9ff6cc62debbcd35d9a558feee987855,38594,,,2014-04-30 00:00:00.000000,1,2010-12-13,126054_v4,2010-12-13,30
f78b824ee9ef28f2fc971a573309884e,768,,,2015-07-29 00:00:00.000000,2,2011-08-10,478358_v4,2011-10-12,9
b0985787b02693d294731c91ec0a48f0,4463,,,2016-04-30 00:00:00.000000,2,2010-10-12,637146_v4,2010-10-12,30
d99bb116cd049db74204fb2f1018b7ff,0,0,0,2016-04-30 00:00:00.000000,1,2010-11-03,660473_v4,2011-02-07,15
debeb2db039c74bf89de4258a70c3ac1,5241,,,2016-01-30 00:00:00.000000,1,2009-08-10,255450_v4,2010-06-30,9
a57b4c38314bb85f3d1831c4f0f4b6b4,1019,,,2015-07-29 00:00:00.000000,1,2011-05-18,632986_v4,2011-05-18,32
215c6e4a36ed2e9bc30c3c8ceb9caea4,2575,,,2015-01-31 00:00:00.000000,1,2013-09-26,410878_v4,2013-09-26,8
